,OBJECTID,YEAR_,STATE,AGENCY,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
19917,41510,2017.0,CA,2.0,2,1.0,1.0,4.431605,2010.0,32158.2109375,1011.1979260456
19918,41511,2017.0,CA,2.0,2,1.0,1.0,5.537436,2010.0,40308.75,903.122421513811
19919,41512,2017.0,CA,2.0,9,1.0,1.0,0.08125556,2010.0,585.16015625,115.639286415036
19920,41513,2017.0,CA,2.0,14,1.0,1.0,0.3905636,2010.0,2821.63671875,500.217971806538
19921,41514,2017.0,CA,2.0,2,1.0,1.0,155.1988,2010.0,1137484.65234375,6426.45322346514
19922,41515,2017.0,CA,2.0,2,1.0,1.0,0.4704108,2010.0,3449.35546875,663.228064156054
19923,41516,2017.0,CA,2.0,2,1.0,1.0,0.3043329,2010.0,2230.0390625,223.127393784295
19924,41517,2017.0,CA,2.0,14,1.0,1.0,54.75001,2010.0,401403.2578125,2876.43544663668
19925,41518,2017.0,CA,2.0,14,1.0,1.0,0.3880334,2010.0,2807.6328125,227.668954261739
19926,41519,2017.0,CA,2.0,2,1.0,1.0,0.3712338,2010.0,2692.453125,227.398462724025
19927,41520,2017.0,CA,2.0,14,1.0,1.0,0.2580093,2010.0,1867.73828125,202.949459557056
19928,41521,2017.0,CA,2.0,14,1.0,1.0,2.216443,2010.0,16016.57421875,616.214948150672
19929,41522,2017.0,CA,2.0,14,1.0,1.0,0.3852446,2010.0,2761.44140625,255.592730858092
19930,41523,2017.0,CA,2.0,5,1.0,1.0,4.643873,2010.0,33535.4296875,894.339055604766
19931,41524,2017.0,CA,2.0,10,1.0,1.0,0.3732139,2010.0,2677.953125,358.645680097935
19932,41525,2017.0,CA,2.0,5,1.0,1.0,0.09527241,2010.0,691.203125,136.406394130397
19933,41526,2017.0,CA,2.0,7,1.0,1.0,0.2216782,2010.0,1605.88671875,296.993516408916
19934,41527,2017.0,CA,2.0,9,1.0,1.0,175.3335,2010.0,1227742.3515625,12735.8336672991
19935,41528,2017.0,CA,2.0,7,1.0,1.0,45.21847,2010.0,316691.1875,2744.13209406427
19936,41529,2017.0,CA,2.0,10,1.0,1.0,13.96419,2010.0,98923.90625,3226.87123841466
19937,41530,2017.0,CA,2.0,1,1.0,1.0,994.0728,2010.0,7065346.28515625,16272.8234909698
19938,41531,2017.0,CA,2.0,14,2.0,1.0,157.2408,2010.0,1016450.1875,5019.18695869346
19939,41532,2017.0,CA,2.0,14,1.0,1.0,109.1915,2010.0,693907.66796875,4032.45730332106
19940,41533,2017.0,CA,2.0,14,2.0,1.0,102.559,2010.0,656410.87890625,4365.31643226222
19941,41534,2017.0,CA,2.0,14,2.0,1.0,102.1644,2010.0,656264.4765625,4529.71088761384
19942,41535,2017.0,CA,3.0,2,1.0,1.0,147.8375,2010.0,885189.9375,6209.63324485198
19943,41536,2017.0,CA,3.0,7,1.0,1.0,34.68973,2010.0,209450.94140625,2825.06971505147
19944,41537,2017.0,CA,3.0,11,1.0,1.0,269.1116,2010.0,1624235.71484375,6851.53278526997
19945,41538,2017.0,CA,3.0,9,1.0,1.0,11.72539,2010.0,70354.9765625,1797.79099534964
19946,41539,2018.0,CA,3.0,11,1.0,1.0,19.23786,2010.0,115487.98046875,2202.7841719789
19947,41540,2017.0,CA,3.0,10,1.0,1.0,429.7042,2010.0,2579300.5,15120.1976845947
19948,41541,2017.0,CA,3.0,11,1.0,1.0,25.13168,2010.0,150879.91796875,1954.42072869269
19949,41542,2017.0,CA,3.0,10,1.0,1.0,10.08267,2010.0,60379.671875,1429.46436243082
19950,41543,2018.0,CA,3.0,11,1.0,1.0,189.5374,2010.0,1144194.5390625,5519.22012341427
19951,41544,2017.0,CA,3.0,11,1.0,1.0,12.27624,2010.0,73729.15234375,2473.84684831547
19952,41545,2017.0,CA,3.0,11,1.0,1.0,25.66816,2010.0,153896.25390625,2125.10568810796
19953,41546,2017.0,CA,3.0,11,1.0,1.0,15.88332,2010.0,95588.3125,1752.28529655968
19954,41547,2017.0,CA,3.0,11,1.0,1.0,13.04565,2010.0,78084.28515625,1630.37108114135
19955,41548,2017.0,CA,3.0,9,1.0,1.0,13.53869,2010.0,81286.74609375,1267.29926127521
19956,41549,2017.0,CA,3.0,2,1.0,1.0,51.36316,2010.0,308778.95703125,3769.93078414295
19957,41550,2017.0,CA,2.0,14,1.0,1.0,193.6728,2010.0,1139674.00390625,5988.70908262723
19958,41551,2017.0,CA,2.0,14,1.0,1.0,20.43246,2010.0,120314.6484375,1880.61302463689
19959,41552,2017.0,CA,2.0,10,2.0,1.0,999.6262,2010.0,5900376.83203125,18557.2118209653
19960,41553,2017.0,CA,2.0,2,1.0,1.0,188.1239,2010.0,1102129.76953125,6960.82257532834
19961,41554,2017.0,CA,2.0,14,1.0,1.0,26.25211,2010.0,154265.13671875,1624.14214456691
19962,41555,2017.0,CA,2.0,9,2.0,1.0,3872.152,2010.0,22852173.4335938,29060.8245904089
19963,41556,2017.0,CA,2.0,11,7.0,1.0,521.0856,2010.0,3074175.90625,13686.9864088946
19964,41557,2017.0,CA,2.0,14,6.0,1.0,577.6851,2010.0,3408433.65234375,7977.69517948837
19965,41558,2017.0,CA,2.0,14,1.0,1.0,41.77808,2010.0,245795.9765625,2694.75417985082
19966,41559,2017.0,CA,2.0,14,1.0,1.0,34.84784,2010.0,205552.9765625,2609.98987024906
19967,41560,2017.0,CA,3.0,14,1.0,1.0,0.003896726,2010.0,22.78125,19.3195339523709
19968,41561,2017.0,CA,3.0,14,1.0,1.0,0.4889542,2010.0,2872.50390625,313.624148299428
19969,41562,2017.0,CA,3.0,14,1.0,1.0,2.2113,2010.0,12935.625,506.686423304343
19970,41563,2017.0,CA,3.0,14,1.0,1.0,0.0795795,2010.0,465.2265625,122.291416544314
19971,41564,2017.0,CA,3.0,14,1.0,1.0,5.23979,2010.0,30700.8671875,866.241263674261
19972,41565,2017.0,CA,3.0,9,1.0,1.0,0.1795835,2010.0,1051.9765625,133.841098022978
19973,41566,2017.0,CA,3.0,2,1.0,1.0,1.328025,2010.0,7759.390625,471.104422535993
19974,41567,2017.0,CA,3.0,14,1.0,1.0,2.904046,2010.0,16965.2265625,651.305586087719
